bookId_RowNum,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
pg30074-84,0.0184,0.2658,0.1443,0.0746,0.0247,0.0206,0.0382,0.0678,0.0367,0.0034,0.0058,0.0000,0.0114,0.1152,-0.0249,0.0135,0.2268,0.2514,0.5218,0.7369,-0.0565,0.2023,-1.0000
pg35509-85,0.0157,0.3135,0.1573,0.0707,0.0277,0.0240,0.0266,0.0725,0.0422,0.0016,0.0033,0.0034,0.0037,0.1073,-0.0186,0.0134,0.2842,0.1718,0.5440,0.6795,-0.0511,0.4080,-1.0000
pg34657-86,0.0200,0.2746,0.1289,0.0727,0.0254,0.0275,0.0338,0.0615,0.0319,0.0011,0.0093,0.0001,0.0091,0.1058,0.0099,0.0192,0.2530,0.2221,0.5249,0.6951,0.0052,-0.4203,-1.0000
pg34415-87,0.0239,0.2890,0.0641,0.0910,0.0185,0.0229,0.0329,0.0482,0.0507,0.0007,0.0065,0.0013,0.0040,0.0895,-0.0613,0.0232,0.2594,0.2185,0.5220,0.7359,-0.0756,-0.1838,-1.0000
pg34658-88,0.0111,0.2678,0.1460,0.0773,0.0283,0.0278,0.0332,0.0649,0.0283,0.0012,0.0102,0.0001,0.0088,0.1096,0.0608,0.0160,0.2395,0.1838,0.5768,0.6592,0.0275,-0.3286,-1.0000
pg41191-89,0.0071,0.2693,0.2814,0.0730,0.0265,0.0269,0.0426,0.0657,0.0407,0.0005,0.0088,0.0000,0.0044,0.1176,0.0043,0.0113,0.2611,0.1596,0.5793,0.7205,-0.0788,-0.8155,-1.0000
pg34659-90,0.0150,0.3038,0.1457,0.0708,0.0257,0.0262,0.0342,0.0659,0.0269,0.0008,0.0081,0.0000,0.0103,0.1090,0.0651,0.0124,0.3205,0.2020,0.4775,0.6774,0.0275,-0.3997,-1.0000
pg22214-91,0.0241,0.1666,0.1797,0.0888,0.0283,0.0216,0.0278,0.0766,0.0431,0.0015,0.0059,0.0113,0.0078,0.1231,-0.0588,0.0266,0.2840,0.2268,0.4893,0.7531,-0.0012,0.3986,-1.0000
pg46402-92,0.0226,0.3994,0.0906,0.0727,0.0193,0.0277,0.0381,0.0613,0.0358,0.0020,0.0019,0.0085,0.0105,0.1117,0.0010,0.0154,0.2887,0.1773,0.5341,0.6667,-0.0809,-0.8643,-1.0000
pg7424-93,0.0221,0.1767,0.3065,0.0972,0.0214,0.0243,0.0333,0.0640,0.0471,0.0005,0.0013,0.0075,0.0080,0.1065,-0.0571,0.0213,0.2520,0.3314,0.4166,0.7570,-0.0288,-0.4146,-1.0000
pg5240-94,0.0124,0.1726,0.0537,0.0653,0.0283,0.0268,0.0331,0.0827,0.0229,0.0006,0.0102,0.0100,0.0036,0.1366,0.2608,0.0136,0.1526,0.1821,0.6654,0.5251,0.3166,0.8994,-1.0000
pg22206-95,0.0153,0.4027,0.1197,0.0642,0.0218,0.0332,0.0450,0.0646,0.0463,0.0005,0.0034,0.0035,0.0033,0.1170,-0.0327,0.0002,0.2445,0.2333,0.5222,0.6901,-0.0968,0.2596,-1.0000
pg22205-96,0.0127,0.1875,0.0796,0.0963,0.0254,0.0296,0.0417,0.0635,0.0367,0.0005,0.0039,0.0022,0.0026,0.1117,0.0509,0.0154,0.1357,0.2072,0.6572,0.6983,-0.0798,-0.1628,-1.0000
pg22208-97,0.0211,0.3317,0.1487,0.0709,0.0234,0.0247,0.0410,0.0621,0.0482,0.0004,0.0025,0.0040,0.0054,0.1101,-0.0694,0.0004,0.3226,0.1290,0.5484,0.7168,-0.1128,0.3422,-1.0000
pg22207-98,0.0207,0.2064,0.0470,0.1015,0.0263,0.0261,0.0402,0.0592,0.0488,0.0035,0.0015,0.0054,0.0052,0.1098,-0.0703,0.0000,0.2810,0.1698,0.5492,0.7557,-0.0968,-0.3314,-1.0000
pg34664-99,0.0322,0.2907,0.0910,0.0763,0.0232,0.0200,0.0328,0.0821,0.0454,0.0009,0.0067,0.0047,0.0121,0.1272,-0.0619,0.0323,0.2718,0.1945,0.5337,0.8006,-0.0947,-0.9606,-1.0000
pg13985-100,0.0199,0.2165,0.2761,0.0690,0.0236,0.0261,0.0284,0.0666,0.0381,0.0035,0.0043,0.0001,0.0067,0.1029,-0.0072,0.0152,0.2348,0.1886,0.5766,0.6839,0.0583,0.0923,-1.0000
pg10473-101,0.0290,0.2991,0.0605,0.0860,0.0158,0.0215,0.0267,0.0507,0.0637,0.0002,0.0001,0.0048,0.0057,0.0824,-0.1320,0.0316,0.3124,0.1966,0.4911,0.8027,0.0031,-0.5083,-1.0000
pg34662-102,0.0128,0.1336,0.1069,0.0715,0.0291,0.0345,0.0481,0.0910,0.0313,0.0005,0.0117,0.0040,0.0014,0.1552,0.1276,0.0043,0.1111,0.2222,0.6667,0.6458,-0.1160,-1.0908,-1.0000
pg9849-103,0.0221,0.2716,0.1800,0.0852,0.0237,0.0261,0.0316,0.0595,0.0479,0.0001,0.0041,0.0026,0.0038,0.0979,-0.0499,0.0221,0.3140,0.1670,0.5191,0.7558,-0.0480,-0.8727,-1.0000
pg12891-104,0.0188,0.3254,0.2202,0.0809,0.0297,0.0290,0.0348,0.0539,0.0545,0.0012,0.0035,0.0038,0.0063,0.0971,-0.0798,0.0176,0.2939,0.1631,0.5430,0.7603,-0.0692,-0.9250,-1.0000
pg34663-105,0.0298,0.3136,0.0730,0.0722,0.0209,0.0209,0.0378,0.0768,0.0377,0.0003,0.0075,0.0046,0.0144,0.1270,-0.0456,0.0288,0.3314,0.2045,0.4641,0.7968,-0.0501,-0.8427,-1.0000
pg37919-106,0.0184,0.1283,0.1185,0.0970,0.0254,0.0268,0.0341,0.0519,0.0415,0.0005,0.0051,0.0106,0.0079,0.1021,-0.0154,0.0141,0.2345,0.1164,0.6491,0.7260,-0.0681,0.2975,-1.0000
pg33557-107,0.0322,0.2221,0.1824,0.0797,0.0262,0.0259,0.0312,0.0627,0.0431,0.0035,0.0048,0.0147,0.0112,0.1170,-0.0727,0.0253,0.3560,0.2300,0.4141,0.6904,0.0817,0.4909,-1.0000
pg12858-108,0.0227,0.2556,0.1075,0.0893,0.0180,0.0219,0.0341,0.0597,0.0522,0.0005,0.0021,0.0063,0.0106,0.1028,-0.0969,0.0253,0.2473,0.2504,0.5023,0.7948,-0.0777,-0.0301,-1.0000
pg37913-109,0.0160,0.3891,0.1718,0.0708,0.0275,0.0275,0.0320,0.0441,0.0523,0.0002,0.0005,0.0028,0.0020,0.0795,-0.0607,0.0138,0.2227,0.1680,0.6094,0.6740,-0.0936,0.1234,-1.0000
